,class,redshift,PCA_3,PCA_11
0,1,0.37627009259459676,0.4541900278493106,0.387543506844094
1,0,0.022132654750346557,0.4636961045591213,0.005025438664726295
2,2,0.0005902898433394081,0.4486100477932562,0.6718635778750359
3,1,0.11142733344529854,0.4545789707748919,0.026430185846440163
4,1,0.3742399535660425,0.4597622451249712,0.06759091469613632
5,1,0.22995782983915453,0.4561080630322867,0.03182899833243344
6,0,0.012420482504821357,0.4552783139640203,0.02071958512231431
7,1,0.032323738222383075,0.4808325787520431,0.050333257895919206
8,1,0.1716000537879903,0.450312342333671,0.010619707173475462
9,0,0.010884795274074467,0.45779568051207054,0.022991034099223623
10,1,0.23626355603587382,0.4640864578803927,0.060578777713198764
11,1,0.14646750448463752,0.4465907825909926,0.05138096860729377
12,1,0.16093539034890547,0.44277953879574666,0.025922952854469522
13,0,0.005170417123514845,0.44919769842875124,0.009964751111976172
14,2,0.0006444907095750555,0.4433590274240901,0.005537880631532294
15,2,0.0005873530899703134,0.4322946121138303,0.023045861839091297
16,2,0.0004941992027626021,0.45672216482377004,0.7426840002986349
17,0,0.010554524536662254,0.4615711362270677,0.020471194046947222
18,2,0.0007373125403808146,0.4464935399007731,0.2580590136235001
19,0,0.00848403149105168,0.47028285493245897,0.029838329919109063
20,1,0.03518250279992307,0.4833486006487294,0.061064291025258066
21,2,0.0005803334410797217,0.44617165298332345,0.32484337514099515
22,0,0.011618167271710597,0.4576209927681018,0.007150917510543503
23,0,0.009816027152816709,0.447347303297281,0.02368038547534801
24,1,0.19999226294000766,0.4589128138302033,0.06669121165436702
25,2,0.0005887542576156127,0.42246783089435097,0.3353210991849308
26,1,0.27619167279880763,0.47918541370754447,0.04367095239551892
27,2,0.0005778771444162157,0.43207048930984293,0.375083158015989
28,0,0.011918283296171922,0.4603106978394283,0.04088452673744482
29,0,0.020503282322133377,0.45767879619229684,0.019937039658868977
30,0,0.0072125039491547525,0.45656638820256884,0.026156115174509595
31,1,0.2849061160626454,0.463246011189649,0.7856996719103787
32,1,0.3528062603857007,0.45332376850155714,0.4552068308079873
33,0,0.008195733163217138,0.47096269997553375,0.00759408681953766
34,0,0.011725197059101201,0.4591832905055226,0.021837301656106645
35,2,0.0005125765645257167,0.44648565361031306,0.29044151810308416
36,1,0.09738377523150589,0.4538630481065834,0.02027883599717545
37,0,0.012251437688809909,0.4574095967959904,0.026173519864749986
38,1,0.012701548104947832,0.45955969669304714,0.557752678280618
39,1,0.3083780974211631,0.47887512316491687,0.610292396349817
40,0,0.011596985201395767,0.45650027633060053,0.017496432941696782
41,2,0.0006334540160106111,0.4436289899337507,0.3874726746097297
42,2,0.0005385203116352678,0.4414180282141664,0.6654614711826765
43,1,0.08906212097943222,0.46031253464617444,0.03972560226195927
44,0,0.007986723201850617,0.45945784306551773,0.025904455389313213
45,0,0.012253999667076928,0.4523783569590893,0.0202692827867251
46,0,0.012292628065958976,0.45499415000861393,0.017679113562100945
47,0,0.005140046529582748,0.45751582543494446,0.01758021366964685
48,2,0.0006428088108736669,0.4405815763295974,0.11868533089458398
49,2,0.0005162230373430895,0.4442463912168636,0.6455669356232789
50,1,0.257459351234278,0.45781869334421715,0.03178006520778359
51,2,0.000549774716165394,0.4475287155148666,0.7269770905605423
52,2,0.000606698592153612,0.43642911419014746,0.2965997023178122
53,2,0.0005650863106538245,0.4430658069448681,0.31780113208308924
54,0,0.005913761106872218,0.4657343482917353,0.025568061375008694
55,2,0.0005793756586576095,0.4353872442075279,0.024143289493295694
56,1,0.261569524961877,0.48503723138622823,0.08557188219715112
57,0,0.01103459808925119,0.4584634424671796,0.0611092470353332
58,1,0.14673642642215237,0.45825784923758867,0.04016037798482247
59,2,0.0005786836957774544,0.4439910229403479,0.010577877343361547
60,0,0.013775949147172142,0.44860557693878667,0.006590234853902643
61,0,0.017744066040761147,0.45114684190046733,0.020690613707343986
62,2,0.000611352618395895,0.43502284343510367,0.016979971055419207
63,1,0.15218892235672998,0.4535329656859573,0.009894828187009708
64,0,0.011326529222206545,0.46253480222860927,0.02472811525294949
65,1,0.12515860766753692,0.4580504296437269,0.020353446863103086
66,1,0.0815161799908184,0.45570889065870485,0.025523691659290873
67,2,0.000582694507066684,0.44480608265037475,0.17523594698691464
68,1,0.18130283163664465,0.41953776821069505,0.21326223862689916
69,2,0.0006472574030586244,0.44013374424902596,0.21059071442095564
70,1,0.3439128217652609,0.4530990984285455,0.6462435381264058
71,0,0.019693585675075842,0.4563826792732507,0.02433486161696738
72,1,0.23628056917280327,0.4637650188708191,0.03461323662738157
73,0,0.012881169659362972,0.45959284387100724,0.02046001722656482
74,2,0.0006389703326538048,0.4510008193387366,0.009961814570140531
75,0,0.012684557842824351,0.458315492559054,0.025342475932775707
76,0,0.013856691493493712,0.468774484653885,0.015417209153876704
77,0,0.0036490509509714986,0.4682596330452723,0.01575931965145988
