inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
899,222.491454,0.548738,0.197716410874733739,422207113,2016-02-08,57427,57426,HD144614N015334M01,7,113,STAR,G5,-0.0001638467,17.38,16.89,16.74,99.00,99.00,222.4914684000,0.5486850000,5392.11,4.447,-0.234,-49.12
1259,223.035008,0.494678,0,422207195,2016-02-08,57427,57426,HD144614N015334M01,7,195,STAR,G2,0.0001552074,18.35,17.13,16.69,16.53,16.47,223.0350080000,0.4946780000,5646.05,4.239,-0.644,46.53
1488,181.360831,-1.003348,0.312031408870794169,435602067,2016-03-06,57454,57453,HD120800N003716B02,2,67,STAR,F9,0.0000058707,15.21,14.74,14.58,99.00,99.00,181.3608980000,-1.0034030000,5384.12,4.435,-0.158,1.76
1204,180.551800,-0.944840,0.108285900696689294,435602126,2016-03-06,57454,57453,HD120800N003716B02,2,126,STAR,G7,-0.0001996715,16.76,16.25,16.03,99.00,99.00,180.5518290000,-0.9448480000,5166.56,2.817,-1.404,-59.86
1192,162.952954,-0.537272,0.00101821128782627083,437509094,2016-03-10,57458,57457,HD104840S015732M01,9,94,STAR,G8,0.0000122752,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5290.05,4.256,-0.274,3.68
158,161.784456,0.353810,0.00152733606847890876,437511159,2016-03-10,57458,57457,HD104840S015732M01,11,159,STAR,G6,0.0001058732,18.60,17.24,16.68,16.46,16.35,161.7844557000,0.3538097000,5246.29,4.303,-0.828,31.74
1036,163.196202,-0.558606,0.00107999997676297074,437512092,2016-03-10,57458,57457,HD104840S015732M01,12,92,STAR,G3,0.0008027554,19.18,17.90,17.37,17.16,17.05,163.1962020000,-0.5586057000,5193.05,2.828,-1.466,240.66
1192,162.952954,-0.537272,0.00101821128782627083,438210108,2016-03-11,57459,57458,HD110103N000249M01,10,108,STAR,G7,0.0000193467,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5241.35,4.431,-0.389,5.80
153,186.076523,0.056071,0.170154752187335445,449601028,2016-04-03,57482,57481,HD122600N020231B02,1,28,STAR,G3,0.0000615426,16.45,16.09,15.98,99.00,99.00,186.0765180000,0.0561180000,5710.12,4.119,-0.518,18.45
519,187.543668,0.039136,0.22553930190804225,449607236,2016-04-03,57482,57481,HD122600N020231B02,7,236,STAR,F5,0.0005490131,16.46,16.19,16.09,99.00,99.00,187.5436060000,0.0391270000,6250.62,4.168,-0.933,164.59
1099,150.195224,0.244655,0.0603464954391915789,7814216,2011-11-24,55890,55889,F9008,14,216,GALAXY,Non,0.0657206000,18.84,17.88,17.59,17.36,17.32,150.1952400000,0.2446600000,,,,
505,122.665804,45.675444,0.00043917232495888119,401605085,2016-01-06,57394,57393,HD081205N465629M01,5,85,Unknown,Non,-9999.0000000000,19.12,17.92,17.47,17.18,17.03,122.6658039000,45.6754439000,,,,
135,162.099818,-0.884227,0.00209895891982236947,437515023,2016-03-10,57458,57457,HD104840S015732M01,15,23,GALAXY,Non,0.2252590000,19.60,18.46,17.53,17.11,16.76,162.0998175000,-0.8842267000,,,,
45,167.414527,-0.486721,0.00113838296507064174,438206172,2016-03-11,57459,57458,HD110103N000249M01,6,172,GALAXY,Non,0.2040040000,21.13,19.00,17.65,17.15,16.75,167.4145273000,-0.4867209000,,,,
1328,120.551247,43.637478,0.000444388131601773954,318014119,2015-02-12,57066,57065,HD081449N430205M01,14,119,STAR,G0,-0.0002302300,19.99,19.86,19.69,19.70,19.56,120.5512469000,43.6374779000,,,,
134,154.557745,-0.127932,0.00129799748336071057,319609076,2015-02-16,57070,57069,HD101607S013552M01,9,76,GALAXY,Non,0.1402920000,20.52,18.50,17.41,16.94,16.57,154.5577448000,-0.1279317000,,,,
776,150.520953,0.655135,0.0501393423586511122,7814078,2011-11-24,55890,55889,F9008,14,78,Unknown,Non,-9999.0000000000,19.91,18.30,17.52,17.16,16.83,150.5209400000,0.6551400000,,,,
469,165.777148,1.222490,0.145857434377717393,438209114,2016-03-11,57459,57458,HD110103N000249M01,9,114,Unknown,Non,-9999.0000000000,19.75,99.00,99.00,99.00,99.00,165.7771300000,1.2224537000,,,,
687,179.481126,0.284450,0.463677891931191188,41714021,2012-02-15,55973,55972,F5597306,14,21,Unknown,Non,-9999.0000000000,18.59,18.47,18.28,18.23,17.99,179.4811667000,0.2845722000,,,,
975,143.455972,-0.759703,0.0893616097600067466,407516050,2016-01-14,57402,57401,HD093904S025022M01,16,50,QSO,Non,1.2003900000,19.53,99.00,99.00,99.00,99.00,143.4559500000,-0.7596915000,,,,
1003,162.017670,-0.576407,0.00203641616197882628,437515216,2016-03-10,57458,57457,HD104840S015732M01,15,216,GALAXY,Non,0.0768646000,18.77,17.53,16.98,16.62,16.40,162.0176696000,-0.5764074000,,,,
144,154.359635,-0.164217,0.131651263461317419,134815034,2013-03-13,56365,56364,HD101607S013552F01,15,34,QSO,Non,0.3456250000,19.41,18.85,18.51,18.44,17.85,154.3596000000,-0.1642064000,,,,
1344,163.956630,-1.007109,0.316021196050742359,437513111,2016-03-10,57458,57457,HD104840S015732M01,13,111,STAR,WD,0.0000591400,19.05,99.00,99.00,99.00,99.00,163.9566600000,-1.0071915000,,,,
392,166.130570,-0.468610,0.00148427136341231555,335108016,2015-03-19,57101,57100,HD110103N000249B01,8,16,GALAXY,Non,0.0438174000,17.37,16.21,15.69,15.38,15.14,166.1305696000,-0.4686099000,,,,
793,155.338123,0.326447,0.00108000000014337187,319612048,2015-02-16,57070,57069,HD101607S013552M01,12,48,GALAXY,Non,0.0945890000,19.86,17.81,16.81,16.37,16.00,155.3381230000,0.3264473000,,,,
1057,190.061093,-1.550456,0.318857544239323831,231513071,2014-04-01,56749,56748,HD123204S014620M01,13,71,Unknown,Non,-9999.0000000000,18.14,17.74,17.56,99.00,99.00,190.0610186000,-1.5504079000,,,,
1371,260.675191,26.087590,0.000719999999012685974,236211209,2014-04-27,56775,56774,HD172149N234110B01,11,209,Unknown,Non,-9999.0000000000,17.59,16.65,16.41,16.32,16.32,260.6751910000,26.0875898000,,,,
648,153.507918,0.362041,0.00113839948163260664,134811019,2013-03-13,56365,56364,HD101607S013552F01,11,19,GALAXY,Non,0.0838227000,18.81,17.71,17.20,16.88,16.73,153.5079183000,0.3620411000,,,,
623,147.150583,0.416565,0.00179998280318388734,290614008,2015-01-02,57025,57024,HD095639S002741B01,14,8,GALAXY,Non,0.0644358000,18.55,16.88,16.04,15.58,15.24,147.1505833000,0.4165654000,,,,
1380,163.082585,-0.172677,0.00129799661853483082,438210131,2016-03-11,57459,57458,HD110103N000249M01,10,131,STAR,G3,0.0006723100,19.47,18.18,17.64,17.41,17.31,163.0825848000,-0.1726773000,,,,
1104,244.668252,0.002179,0.00152735063959941967,451412184,2016-04-08,57487,57486,HD161245S014318M01,12,184,STAR,WDMagnetic,-0.0001158700,19.80,18.12,17.41,17.01,16.76,244.6682517000,0.0021793000,,,,
5,197.005665,-0.082416,0.101886966665539522,144108235,2013-04-12,56395,56394,HD130444N001742F01,8,235,QSO,Non,2.0575900000,19.15,19.03,18.88,18.74,18.50,197.0056800000,-0.0823920000,,,,
1097,162.721855,-0.614764,0.00143991709225292359,205109082,2014-01-09,56667,56666,HD104840S015732B,9,82,GALAXY,Non,0.1150010000,18.55,17.11,16.27,15.85,15.51,162.7218554000,-0.6147640000,,,,
1101,130.399692,50.650600,0.30654436563536408,302913195,2015-01-23,57046,57045,HD082820N494114M01,13,195,STAR,A6IV,-0.0001679700,16.17,99.00,99.00,99.00,99.00,130.3997000000,50.6506850000,,,,
1066,124.416093,46.050000,0.000438207132806577666,401608115,2016-01-06,57394,57393,HD081205N465629M01,8,115,QSO,Non,1.5301100000,20.21,19.96,19.84,19.60,19.67,124.4160929000,46.0499999000,,,,
1131,122.576717,45.532012,0.00100873538327846319,198805077,2013-12-26,56653,56652,HD081205N465629B01,5,77,GALAXY,Non,0.0545038000,19.33,17.45,16.68,16.32,16.03,122.5767166000,45.5320120000,,,,
1183,207.036648,0.623129,0.0107878732918023079,141308046,2013-04-06,56389,56388,HD134427N004207F01,8,46,Unknown,Non,-9999.0000000000,24.00,20.46,19.31,19.28,19.35,207.0366467000,0.6231317000,,,,
98,164.151586,-2.810235,0.0144948802934982759,404014160,2016-01-10,57398,57397,HD110236S033045M01,14,160,STAR,A2V,0.0002798300,19.74,99.00,99.00,99.00,99.00,164.1515900000,-2.8102355000,,,,
614,200.451227,-0.496220,0.0439430581892292157,26813171,2012-01-05,55932,55931,F5593201,13,171,GALAXY,Non,0.1764450000,19.79,18.53,17.65,17.20,16.93,200.4512200000,-0.4962100000,,,,
618,182.529795,-1.015637,0.0016099183257164858,200607042,2013-12-29,56656,56655,HD120800N003716M01,7,42,STAR,K7,-0.0000778900,21.18,18.75,17.47,16.95,16.67,182.5297952000,-1.0156366000,,,,
420,144.609592,0.672997,0.0691911328640497925,84610193,2012-11-26,56258,56257,HD094623N014708M01,10,193,STAR,A8III,0.0002185800,16.46,15.30,15.15,15.13,15.17,144.6095728000,0.6729979000,,,,
1391,163.052066,-0.615051,0.00129794665470863422,438210081,2016-03-11,57459,57458,HD110103N000249M01,10,81,Unknown,Non,-9999.0000000000,20.63,18.46,17.40,16.91,16.50,163.0520657000,-0.6150508000,,,,
572,159.309497,-0.087440,0.00148431636548593043,436607094,2016-03-08,57456,57455,HD102942N012928M01,7,94,GALAXY,Non,0.0212881000,18.86,17.84,17.39,17.16,16.95,159.3094966000,-0.0874401000,,,,
561,172.709145,-1.392830,0.13393699006213064,417501199,2016-01-30,57418,57417,KP112734N005722B01,1,199,STAR,G1,0.0001379700,16.65,15.56,15.17,99.00,99.00,172.7091820000,-1.3928260000,,,,
810,170.538540,-0.527269,0.131382257724574292,417502038,2016-01-30,57418,57417,KP112734N005722B01,2,38,Unknown,Non,-9999.0000000000,16.16,99.00,99.00,99.00,99.00,170.5385760000,-0.5272630000,,,,
653,158.198549,-0.204757,0.000804980343132662103,229907024,2014-03-25,56742,56741,HD102942N012928B01,7,24,GALAXY,Non,0.0340129000,17.78,16.23,15.50,15.08,14.74,158.1985492000,-0.2047571000,,,,
603,200.849108,-0.365356,0.00968650037474686268,436714078,2016-03-08,57456,57455,HD132914S012151M01,14,78,Unknown,Non,-9999.0000000000,18.22,99.00,99.00,99.00,99.00,200.8491100000,-0.3653542000,,,,
802,131.599184,54.250642,0.000750091528101820559,216507056,2014-02-10,56699,56698,HD083725N555909B,7,56,STAR,F9,-0.0001379300,18.18,16.67,16.13,15.95,15.85,131.5991841000,54.2506418000,,,,
583,171.912222,-1.428248,0.0101807561658133049,46503008,2012-03-12,55999,55998,F5599904,3,8,STAR,K1,-0.0000104600,18.13,16.30,15.50,15.16,14.95,171.9122200000,-1.4282500000,,,,
439,150.816227,0.226407,0.103087648099875084,290613145,2015-01-02,57025,57024,HD095639S002741B01,13,145,Unknown,Non,-9999.0000000000,16.38,15.94,15.71,99.00,99.00,150.8162530000,0.2264190000,,,,
173,186.435465,-3.464970,0.0899408056476337092,231502095,2014-04-01,56749,56748,HD123204S014620M01,2,95,Unknown,Non,-9999.0000000000,18.79,17.72,17.63,17.63,17.66,186.4354500000,-3.4649500000,,,,
299,173.634571,-0.930048,0.23041005220207339,46508093,2012-03-12,55999,55998,F5599904,8,93,Unknown,Non,-9999.0000000000,18.00,18.07,17.98,18.01,17.54,173.6346333000,-0.9300333000,,,,
682,157.970392,0.213096,0.00148430842907481793,436608216,2016-03-08,57456,57455,HD102942N012928M01,8,216,STAR,A7III,0.0001246400,18.71,17.57,17.38,17.34,17.33,157.9703916000,0.2130961000,,,,
445,210.571416,-0.745915,0.0461001124833574638,41813128,2012-02-15,55973,55972,F5597308,13,128,Unknown,Non,-9999.0000000000,18.41,17.23,16.76,16.59,16.55,210.5714060000,-0.7459070000,,,,
390,238.315000,0.775482,0.00148419003031524731,457505077,2016-05-10,57519,57518,HD155427N020832B02,5,77,STAR,M3,0.0001296100,20.83,18.25,16.76,15.34,14.56,238.3150004000,0.7754821000,,,,
1055,197.421918,0.010354,0.00129799844439871842,327508056,2015-03-01,57083,57082,HD130444N001742B01,8,56,Unknown,Non,-9999.0000000000,18.96,17.45,16.70,16.32,16.09,197.4219182000,0.0103537000,,,,
411,167.581814,-0.142909,0.00143999996917880684,335106143,2015-03-19,57101,57100,HD110103N000249B01,6,143,GALAXY,Non,0.0488676000,18.29,16.40,15.54,15.13,14.84,167.5818140000,-0.1429094000,,,,
144,154.359635,-0.164217,0.131651263461317419,319615031,2015-02-16,57070,57069,HD101607S013552M01,15,31,Unknown,Non,-9999.0000000000,18.51,99.00,99.00,99.00,99.00,154.3596000000,-0.1642064000,,,,
1007,155.541745,-0.055372,0.00203646706285475062,436602093,2016-03-08,57456,57455,HD102942N012928M01,2,93,Unknown,Non,-9999.0000000000,19.53,17.72,16.83,16.39,16.08,155.5417446000,-0.0553724000,,,,
1391,163.052066,-0.615051,0.00129794665470863422,437509099,2016-03-10,57458,57457,HD104840S015732M01,9,99,GALAXY,Non,0.1294250000,20.63,18.46,17.40,16.91,16.50,163.0520657000,-0.6150508000,,,,
1325,194.032766,0.035496,0.0686987069145620771,144110132,2013-04-12,56395,56394,HD130444N001742F01,10,132,QSO,Non,0.6511540000,19.14,18.75,18.76,18.71,18.79,194.0327500000,0.0354856000,,,,
811,149.840084,1.196978,0.0017998585913828163,141112147,2013-04-06,56389,56388,HD095639S002741F01,12,147,GALAXY,Non,0.0965690000,19.42,18.22,17.48,17.07,16.78,149.8400837000,1.1969776000,,,,
1421,150.931061,0.704674,0.000804972295281892623,290613117,2015-01-02,57025,57024,HD095639S002741B01,13,117,GALAXY,Non,0.0325282000,18.74,17.16,16.41,16.02,15.73,150.9310611000,0.7046738000,,,,
53,183.656965,0.476385,0.0569192271640017178,41713116,2012-02-15,55973,55972,F5597306,13,116,Unknown,Non,-9999.0000000000,20.34,18.74,17.53,17.01,16.65,183.6569500000,0.4763900000,,,,
259,207.224856,-0.782371,0.00849602638777974956,38314168,2012-02-08,55966,55965,B5596609,14,168,STAR,F3,-0.0000247600,16.89,15.99,15.65,15.50,15.47,207.2248574000,-0.7823691000,,,,
114,163.274528,0.269573,0.000804982691472345404,438214188,2016-03-11,57459,57458,HD110103N000249M01,14,188,STAR,G2,0.0000121600,18.87,17.78,17.39,17.25,17.24,163.2745281000,0.2695732000,,,,
321,157.684769,-0.153612,0.001800000144435951,436601146,2016-03-08,57456,57455,HD102942N012928M01,1,146,GALAXY,Non,0.0919988000,20.11,18.30,17.37,16.94,16.63,157.6847690000,-0.1536115000,,,,
158,161.784456,0.353810,0.00152733606847890876,205111159,2014-01-09,56667,56666,HD104840S015732B,11,159,STAR,G6,0.0000597000,18.60,17.24,16.68,16.46,16.35,161.7844557000,0.3538097000,,,,
1386,157.027946,0.387731,0.00148428602146701938,436605032,2016-03-08,57456,57455,HD102942N012928M01,5,32,GALAXY,Non,0.1076490000,19.64,17.85,16.88,16.40,16.03,157.0279464000,0.3877311000,,,,
411,167.581814,-0.142909,0.270215912385282087,418110178,2016-01-31,57419,57418,KP111915N004324B01,10,178,Unknown,Non,-9999.0000000000,15.92,99.00,99.00,99.00,99.00,167.5818170000,-0.1428340000,,,,
670,120.958589,46.946314,0.247301933697310683,401603094,2016-01-06,57394,57393,HD081205N465629M01,3,94,STAR,F5,-0.0000533400,19.72,99.00,99.00,99.00,99.00,120.9585400000,46.9463740000,,,,
1313,230.492884,0.478811,0.0505266524860851912,48409069,2012-03-26,56013,56012,F5601307,9,69,Unknown,Non,-9999.0000000000,19.33,18.13,17.57,17.23,17.07,230.4928700000,0.4788100000,,,,
576,30.397183,12.918362,0.00946473745999531525,62004009,2012-10-07,56208,56207,EG020224N124106B01,4,9,Unknown,Non,-9999.0000000000,22.43,19.46,18.33,18.57,17.74,30.3971804000,12.9183627000,,,,
319,221.003050,0.960149,0.0651600000009237429,422205236,2016-02-08,57427,57426,HD144614N015334M01,5,236,Unknown,Non,-9999.0000000000,19.63,99.00,99.00,99.00,99.00,221.0030500000,0.9601671000,,,,
1065,165.491677,-0.526635,0.00129798170294826527,335104091,2015-03-19,57101,57100,HD110103N000249B01,4,91,GALAXY,Non,0.0824911000,18.59,17.23,16.44,16.02,15.73,165.4916768000,-0.5266347000,,,,
557,129.918792,51.423211,0.0280904206575636819,278610196,2014-12-11,57003,57002,HD085306N522324V01,10,196,STAR,F7,-0.0000032400,19.23,11.43,17.92,99.00,99.00,129.9187840000,51.4232170000,,,,
1279,236.356817,0.526903,0.0635641387548021158,133716166,2013-03-09,56361,56360,HD154852S010004M01,16,166,STAR,A2V,-0.0001248600,18.85,17.69,17.53,17.51,17.53,236.3568200000,0.5268856000,,,,
253,164.743427,-0.605955,0.00160989703573361561,335105068,2015-03-19,57101,57100,HD110103N000249B01,5,68,STAR,F5,0.0000046500,17.65,16.58,16.23,16.10,16.05,164.7434274000,-0.6059548000,,,,
194,121.622691,44.607024,0.00133109783268561951,318016181,2015-02-12,57066,57065,HD081449N430205M01,16,181,Unknown,Non,-9999.0000000000,19.93,19.72,19.46,19.45,19.50,121.6226905000,44.6070241000,,,,
874,199.147423,-0.018142,0.157167934857033509,227705100,2014-03-21,56738,56737,HD131828N011447V,5,100,Unknown,Non,-9999.0000000000,14.51,13.98,13.87,99.00,99.00,199.1474080000,-0.0181830000,,,,
1136,181.656937,-0.450307,0.0777110479977922292,435605048,2016-03-06,57454,57453,HD120800N003716B02,5,48,STAR,A1V,0.0001756400,15.55,15.74,15.95,99.00,99.00,181.6569580000,-0.4503020000,,,,
611,155.741290,0.819606,0.108992986040957862,436610069,2016-03-08,57456,57455,HD102942N012928M01,10,69,QSO,Non,1.4196200000,18.80,99.00,99.00,99.00,99.00,155.7413200000,0.8196019000,,,,
1017,202.027358,0.069326,0.000804984069208443138,212815213,2014-01-27,56685,56684,HD132914S012151B01,15,213,GALAXY,Non,0.0830295000,18.98,17.05,16.11,15.68,15.36,202.0273582000,0.0693261000,,,,
185,223.805127,0.608699,0.0010799390232984873,232602170,2014-04-04,56752,56751,HD150254N020528B01,2,170,GALAXY,Non,0.0433403000,17.95,16.73,16.16,15.82,15.56,223.8051267000,0.6086990000,,,,
1101,130.399692,50.650600,0.30654436563536408,399602081,2016-01-03,57391,57390,HD085306N522324M01,2,81,STAR,A6IV,-0.0002400100,16.17,99.00,99.00,99.00,99.00,130.3997000000,50.6506850000,,,,
648,153.507918,0.362041,0.00113839948163260664,319611019,2015-02-16,57070,57069,HD101607S013552M01,11,19,GALAXY,Non,0.0837923000,18.81,17.71,17.20,16.88,16.73,153.5079183000,0.3620411000,,,,
320,150.289021,1.092361,0.00152721191449881684,316601240,2015-02-10,57064,57063,HD100408N031203M01,1,240,GALAXY,Non,0.1241680000,18.44,17.46,16.95,16.60,16.44,150.2890213000,1.0923613000,,,,
1421,150.931061,0.704674,0.000804972295281892623,445701222,2016-03-25,57473,57472,HD100408N031203B01,1,222,GALAXY,Non,0.0321410000,18.74,17.16,16.41,16.02,15.73,150.9310611000,0.7046738000,,,,
1369,243.975758,-0.914182,0.00143999996917271687,451409039,2016-04-08,57487,57486,HD161245S014318M01,9,39,Unknown,Non,-9999.0000000000,19.73,17.92,17.03,16.63,16.32,243.9757580000,-0.9141824000,,,,
614,200.451227,-0.496220,0.000804978417543302156,436714134,2016-03-08,57456,57455,HD132914S012151M01,14,134,GALAXY,Non,0.1762890000,19.91,18.62,17.71,17.25,16.96,200.4512269000,-0.4962202000,,,,
1002,164.782305,-0.063017,0.00107999997680465962,335104171,2015-03-19,57101,57100,HD110103N000249B01,4,171,GALAXY,Non,0.0764424000,18.77,17.21,16.38,15.98,15.66,164.7823050000,-0.0630173000,,,,
810,170.538540,-0.527269,0.00148425884332809596,418108114,2016-01-31,57419,57418,KP111915N004324B01,8,114,GALAXY,Non,0.0739098000,18.68,16.77,15.83,15.32,14.94,170.5385404000,-0.5272691000,,,,
378,149.041014,0.325857,0.00160994800260548629,290615193,2015-01-02,57025,57024,HD095639S002741B01,15,193,GALAXY,Non,0.0356990000,17.91,16.75,16.50,16.63,16.19,149.0410136000,0.3258572000,,,,
499,237.123203,51.551931,0.118640403662328905,53208014,2012-06-17,56096,56095,VB3_235N52_V2,8,14,Unknown,Non,-9999.0000000000,13.18,12.28,11.73,11.47,14.48,237.1231500000,51.5519310000,,,,
